Individual,Coverage,Name,IID,Population,Date.mean.in.BP.in.years.before.1950.CE..OxCal.mu.for.a.direct.radiocarbon.date..and.average.of.range.for.a.contextual.date.,Country,Lat.,Long.,Coverage..X.,Study,UDG,Data.source,color
Yamnaya_1X,1X,Yamnaya,Yamnaya,Steppe,4890,,49.13422,75.85182,24.6828,damgaard_2018B_horseherder,N,Shotgun,#1b998bff
Yamnaya_2X,2X,Yamnaya,Yamnaya,Steppe,4890,,49.13422,75.85182,24.6828,damgaard_2018B_horseherder,N,Shotgun,#1b998bff
Yamnaya_Original,Original,Yamnaya,Yamnaya,Steppe,4890,,49.13422,75.85182,24.6828,damgaard_2018B_horseherder,N,Shotgun,#1b998bff
Yamnaya_ImputedOC,ImputedOC,Yamnaya,Yamnaya,Steppe,4890,,49.13422,75.85182,24.6828,damgaard_2018B_horseherder,N,Shotgun,#1b998bff
Yana1_0.0625X,0.0625X,Yana1,Yana_old,Pre-LGM Eurasian,31850,Russia,70.72,135.42,23.5256,sikora_2019,N,Shotgun,#ed217cff
Yana1_0.5X,0.5X,Yana1,Yana_old,Pre-LGM Eurasian,31850,Russia,70.72,135.42,23.5256,sikora_2019,N,Shotgun,#ed217cff
Yana1_1X,1X,Yana1,Yana_old,Pre-LGM Eurasian,31850,Russia,70.72,135.42,23.5256,sikora_2019,N,Shotgun,#ed217cff
Yana1_2X,2X,Yana1,Yana_old,Pre-LGM Eurasian,31850,Russia,70.72,135.42,23.5256,sikora_2019,N,Shotgun,#ed217cff
Yana1_Original,Original,Yana1,Yana_old,Pre-LGM Eurasian,31850,Russia,70.72,135.42,23.5256,sikora_2019,N,Shotgun,#ed217cff
Yana1_ImputedOC,ImputedOC,Yana1,Yana_old,Pre-LGM Eurasian,31850,Russia,70.72,135.42,23.5256,sikora_2019,N,Shotgun,#ed217cff
atp016_0.0625X,0.0625X,atp016,atp016,European Neolithic,4971,Spain,42.35267,-3.51832,11.7963,valdiosera_2018,N,Shotgun,#8d2962ff
atp016_0.5X,0.5X,atp016,atp016,European Neolithic,4971,Spain,42.35267,-3.51832,11.7963,valdiosera_2018,N,Shotgun,#8d2962ff
atp016_1X,1X,atp016,atp016,European Neolithic,4971,Spain,42.35267,-3.51832,11.7963,valdiosera_2018,N,Shotgun,#8d2962ff
atp016_2X,2X,atp016,atp016,European Neolithic,4971,Spain,42.35267,-3.51832,11.7963,valdiosera_2018,N,Shotgun,#8d2962ff
atp016_Original,Original,atp016,atp016,European Neolithic,4971,Spain,42.35267,-3.51832,11.7963,valdiosera_2018,N,Shotgun,#8d2962ff
atp016_ImputedOC,ImputedOC,atp016,atp016,European Neolithic,4971,Spain,42.35267,-3.51832,11.7963,valdiosera_2018,N,Shotgun,#8d2962ff
sf12_0.0625X,0.0625X,sf12,sf12,European Mesolithic,8895,Sweden,57.285,17.971,43.0956,gunther_2018,Y,Shotgun,#7e5920ff
sf12_0.5X,0.5X,sf12,sf12,European Mesolithic,8895,Sweden,57.285,17.971,43.0956,gunther_2018,Y,Shotgun,#7e5920ff
sf12_1X,1X,sf12,sf12,European Mesolithic,8895,Sweden,57.285,17.971,43.0956,gunther_2018,Y,Shotgun,#7e5920ff
sf12_2X,2X,sf12,sf12,European Mesolithic,8895,Sweden,57.285,17.971,43.0956,gunther_2018,Y,Shotgun,#7e5920ff
sf12_Original,Original,sf12,sf12,European Mesolithic,8895,Sweden,57.285,17.971,43.0956,gunther_2018,Y,Shotgun,#7e5920ff
sf12_ImputedOC,ImputedOC,sf12,sf12,European Mesolithic,8895,Sweden,57.285,17.971,43.0956,gunther_2018,Y,Shotgun,#7e5920ff
