"Individual","Coverage","Category","HET_SENSITIVITY","HET_PPV","HET_SPECIFICITY","HOMVAR_SENSITIVITY","HOMVAR_PPV","HOMVAR_SPECIFICITY","VAR_SENSITIVITY","VAR_PPV","VAR_SPECIFICITY","GENOTYPE_CONCORDANCE","NON_REF_GENOTYPE_CONCORDANCE"
"Loschbour","0.5X","Archaic Shared",0.98621,0.923997,NA,0.993698,0.952866,NA,0.989984,0.938341,0.891495,0.593813,0.593813
"Loschbour","0.5X","Not Detected As Archaic",0.971183,0.892146,NA,0.988949,0.949633,NA,0.982349,0.927433,0.843143,0.604556,0.604556
"Loschbour","0.5X","Archaic Original",0.687947,0.769424,NA,0.92902,0.936,NA,0.805386,0.850129,0.812146,0.47,0.47
"Loschbour","0.5X","Archaic New",0.989748,0.914492,NA,0.99279,0.944619,NA,0.991012,0.926739,0.890592,0.545764,0.545764
"Loschbour","1X","Archaic Shared",0.990098,0.92333,NA,0.995236,0.954092,NA,0.99269,0.938597,0.891794,0.595318,0.595318
"Loschbour","1X","Not Detected As Archaic",0.982781,0.899104,NA,0.99355,0.951575,NA,0.989544,0.931353,0.849596,0.609369,0.609369
"Loschbour","1X","Archaic Original",0.643768,0.764897,NA,0.909206,0.949081,NA,0.759934,0.844785,0.827774,0.429283,0.429283
"Loschbour","1X","Archaic New",0.990658,0.917181,NA,0.993119,0.94784,NA,0.99171,0.930002,0.892992,0.54944,0.54944
"Loschbour","2X","Archaic Shared",0.988651,0.923913,NA,0.994441,0.956251,NA,0.991558,0.939853,0.894462,0.593638,0.593638
"Loschbour","2X","Not Detected As Archaic",0.990388,0.904884,NA,0.995789,0.95272,NA,0.993781,0.93433,0.854413,0.612426,0.612426
"Loschbour","2X","Archaic Original",0.64486,0.763158,NA,0.914706,0.969492,NA,0.783661,0.864775,0.827292,0.457116,0.457116
"Loschbour","2X","Archaic New",0.993558,0.918684,NA,0.995257,0.95044,NA,0.994295,0.932154,0.89485,0.552376,0.552376
"Mota","0.0625X","Archaic Shared",0.926471,0.759036,NA,1,0.857143,NA,0.94186,0.778846,0.792793,0.324,0.324
"Mota","0.0625X","Not Detected As Archaic",0.6502,0.622815,NA,0.771145,0.841872,NA,0.71431,0.709293,0.69568,0.244123,0.244123
"Mota","0.0625X","Archaic Original",0.587361,0.635478,NA,0.791667,0.812698,NA,0.665904,0.702899,0.736617,0.260417,0.260417
