Coverage,Sample,KHV,JPT,CDX,CHS,CHB,BEB,GIH,ITU,STU,PJL,CEU,GBR,TSI,IBS,FIN
2X,Yana1,0.06901522418848834,0.0678270616071037,0.06987643513934833,0.06831810357477798,0.06936113997097823,0.060509276612099955,0.06231549357790874,0.06301209664971533,0.06285419939141831,0.061504156457279135,0.07237224008751263,0.07084579979689727,0.07001776847579669,0.06558728439790668,0.0665837200727689
2X,BOT2016,0.06514725294073398,0.06684261304611243,0.06289973876680782,0.06678664057290921,0.06657531811396607,0.06269506009178988,0.06155027410275178,0.06370152784523564,0.06523122240126526,0.06236795782991918,0.07485246063101152,0.07380945158711343,0.07398921256544612,0.06643546633724773,0.06711580316768996
2X,Yamnaya,0.05696803435548304,0.05722073946796707,0.05595858085585699,0.05605328568935405,0.056334984863127546,0.06442589515205713,0.06362154354872522,0.06701193985791322,0.06846367288174914,0.0634791487747563,0.07997270242893724,0.08029587908642426,0.07945662992245667,0.07566463257718323,0.07507233053800876
1X,USR1,0.08229266971083679,0.08764777874923582,0.0833726661420398,0.08647350255367683,0.0879692174651651,0.059965554750374885,0.05806705450371777,0.05828530541481059,0.05926405820071396,0.05774549578282732,0.05574233201118694,0.05647837085712037,0.0537199814967995,0.05292138393441344,0.06005462842708092
1X,Kolyma1,0.08215667904470009,0.08969912552916873,0.08232987495100526,0.08624662120627528,0.087829459999695,0.06433972446000241,0.06018239099038782,0.06153833306549699,0.060427724679091285,0.0612385379218672,0.05316103267382722,0.05293251961221169,0.051112764509396655,0.05100565205710791,0.05579955929976666
1X,KK1,0.0532192486209315,0.05135992305473227,0.051878985028844,0.05427516777336071,0.0533530493572037,0.06461173213167537,0.07221200584477554,0.06748875390602609,0.07149609100471245,0.06783366026485331,0.07756817545309541,0.07958483149756525,0.08200588618917945,0.07906438012286479,0.0740481097501802
1X,Loschbour,0.05209847700116048,0.052435941199460344,0.05071624400625694,0.05256068042465918,0.051306555576435466,0.05520584777817166,0.06106867474019475,0.055656446353550555,0.061180623438314534,0.05606333850692938,0.0934940702944131,0.09206998699764433,0.08440850254507837,0.08947652672796196,0.09225808440976895
1X,sf12,0.05083051011159545,0.05251133099489051,0.04985410371491088,0.05025713969102282,0.05136020575646879,0.060910490982459924,0.06575598672835811,0.06089994381810313,0.0663814322275392,0.05977376752918768,0.08993982780924731,0.0904320122972378,0.08040349094323083,0.08385165338155469,0.08683810401419287
1X,SRA62,0.05024670573865502,0.04912149597446336,0.05129232507439182,0.05045013536766202,0.05016006442709631,0.058231008554089324,0.0617195653881379,0.05625445286922302,0.06204668072775062,0.05754044800327595,0.09435173082346442,0.09109591359550927,0.08537146021005314,0.0891631300463194,0.09295488319990838
1X,2H10,0.04928582515116362,0.048872633554494095,0.049262765464552355,0.04984161895400924,0.04945178704116441,0.057523527296071526,0.060122884388681484,0.058426211202471094,0.06396273650405264,0.05716559865666071,0.09017129214348714,0.09175217483460345,0.0947013819933734,0.09451979224589319,0.08493977056932174
1X,2H11,0.04672522110434425,0.04700006199825669,0.04722119739179334,0.04773941825198083,0.04604975425065107,0.058003553892632634,0.06364181196736497,0.05987222647247218,0.06278899645610594,0.05804853725299724,0.09490379333786139,0.09374219086392828,0.08945708368617762,0.09445947734139895,0.09034667573203455
1X,atp016,0.04435208692103689,0.04733862802136029,0.046946280100607515,0.04739766835331045,0.04821800359645279,0.05812926357282772,0.06540188591103734,0.06127624965219405,0.06665925620542935,0.060960141076432266,0.09067647446017985,0.0903399716111278,0.09346871037106502,0.0940020341149131,0.0848333460320256
1X,BA64,0.05177558014309584,0.0504493609735105,0.04917231076919965,0.05124799501405703,0.05191364390496518,0.057211552834368226,0.0629061386783263,0.058388699981206715,0.06255685490117287,0.057956537545390346,0.08968869493480709,0.08724339415015689,0.09099595512163335,0.09372280155764065,0.0847704794904695
1X,JP14,0.05001987696944319,0.0494540941053452,0.048458985059996844,0.04908706858238923,0.050293046157470635,0.05694095502947635,0.06086624957093263,0.05916572665769956,0.06431423525374917,0.05805498870760366,0.090860546388769,0.09058769176510552,0.0923887511999731,0.09148248123023438,0.08802530332181151
